,title,author,price
0,Atomic Habits,James Clear,₹551
1,The Psychology of Money,Morgan Housel,₹295
2,Ikigai,Francesc Miralles,₹391
3,Word Power Made Easy,Norman Lewis,₹105
4,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,₹273
5,Rich Dad Poor Dad,Robert T Kiyosaki,₹359
6,Grandma's Bag of Stories,Sudha Murthy,₹601
7,Life's Amazing Secrets: How to Find Balance and Purpose in your life,Gaur Gopal Das,₹150
8,It Ends with Us,Colleen Hoover ,₹344
9,Quantitative Aptitude for Competitive Examinations,R S Aggarwal ,₹554
10,Alchemist, Paulo Coelho,₹228
11,Quantitative Aptitude for Competitive Examinations,R S Aggarwal ,₹554
12,The Intelligent Investor,Benjamin Graham,₹584
13,The Diary Of A Young Girl,Anne Frank ,₹105
14,Wuthering Heights,Emily Brontë,₹119
15,Socho Aur Amir Ho Jao (Think And Grow Rich - Hindi),,₹90
16,Autobiography Of A Yogi,,₹117
17,Metamorphosis,,₹59
18,The Art Of War,,₹59
19,The Origin of Species,,₹179
20,The Unusual Billionaires,,₹419
21,Rich Dad Poor Dad,Robert T Kiyosaki,₹295
22,It Ends with Us,Colleen Hoover ,₹344
23,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,₹344
24,Ugly Love,Colleen Hoover ,₹274
25,The Kid Who Came From Space,Ross Welford,₹259
26,"Children'S Encyclopedia - Scientists, Inventions and Discoveries", Board Editorial,₹117
27,Shoe Dog,Au,₹274
28,November 9,Colleen Hoover ,₹969
29,Where Is Baby's Belly Button?,Karen Katz,₹389
30,Secret,Rhonda Byrne,₹439
31,The Midnight Library,Haig Matt Haig,₹419
32,Magic,Rhonda Byrne,₹274
33,"Red, White & Royal Blue",Casey McQuiston,₹419
34,The Letters of Vincent Van Gogh,Arnold Pomerans,₹935
35,New Kid,Jerry Craft,₹454
36,Emotional Intelligence 2.0,Patrick M Lencioni,₹679
37,Neuromancer,William Gibson,₹561
38,Frindle,Andrew Clements,₹109
39,Front Desk (Scholastic Gold),Kelly Yang,₹530
40,We Are Okay,Nina Lacour,₹567
41,Between the World and Me,Ta-Nehisi Coates,₹419
42,Making Comics,Scott McCloud,"₹1,264"
43,Just Kids,Patti Smith,₹618
44,Atomic Habits,James Clear,₹551
45,The Psychology of Money,Morgan Housel,₹295
46,Ikigai,Francesc Miralles,₹391
47,Word Power Made Easy,Norman Lewis,₹105
48,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,₹273
49,Rich Dad Poor Dad,Robert T Kiyosaki,₹359
50,Grandma's Bag of Stories,Sudha Murthy,₹601
51,Life's Amazing Secrets: How to Find Balance and Purpose in your life,Gaur Gopal Das,₹150
52,It Ends with Us,Colleen Hoover ,₹344
53,Quantitative Aptitude for Competitive Examinations,R S Aggarwal ,₹554
54,Alchemist, Paulo Coelho,₹228
55,Word Power Made Easy,Norman Lewis,₹105
56,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,₹273
57,Life's Amazing Secrets: How to Find Balance and Purpose in your life,Gaur Gopal Das,₹150
58,400 Days,CHETAN BHAGAT,₹150
59,My First Book of Patterns Pencil Control; Pattern Practice Book for Kids,Wonder House Books Editorial,₹72
60,Attitude Is Everything,Jeff Keller,₹119
61,Very First Sight Words Sentences Level 1,Dreamland Publications,₹120
62,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,₹141
63,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,₹150
64,The Power Of Your Subconscious Mind,Dr Joseph Murphy,₹119
65,General Knowledge,Lucent Publication,₹135
66,Atomic Habits,James Clear,₹551
67,The Psychology of Money,Morgan Housel,₹295
68,Ikigai,Francesc Miralles,₹391
69,Word Power Made Easy,Norman Lewis,₹105
70,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,₹273
71,Rich Dad Poor Dad,Robert T Kiyosaki,₹359
72,Grandma's Bag of Stories,Sudha Murthy,₹601
73,Life's Amazing Secrets: How to Find Balance and Purpose in your life,Gaur Gopal Das,₹150
74,It Ends with Us,Colleen Hoover ,₹344
75,Quantitative Aptitude for Competitive Examinations,R S Aggarwal ,₹554
76,Alchemist, Paulo Coelho,₹228
77,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,₹273
78,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,₹141
79,My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,₹944
80,"My First Super Boxset of Pencil Control and Patterns : Pack of 4 interactive activity books to practice Patterns, Numbers and Alphabet",Wonder House Books,₹347
81,Harry Potter Box Set: The Complete Collection Children's Paperback,J.K.Rowling,"₹2,915"
82,World’s Best Inspirational Books to Change Your Life (Box Set of 3 Books),"Dale Carnegie, Napoleon Hill, Joseph Murphy",₹334
83,Colouring Books Boxset: Pack of 12 Copy Colour Books For Children,Wonder House Books,₹447
84,"Meri Pratham Hindi Sulekh Boxset  : Four Hindi Workbooks To Practice Words And Sentences (Shabd Gyan, Maatra Gyan, Sayukt Akshar Gyan, Vaakya Gyan)",Wonder House Books,₹321
85,Percy Jackson: Complete Series Box Set,,"₹1,779"
86,The Hobbit & The Lord of the Rings Boxed Set,J. R. R. Tolkien,"₹1,223"
87,Harry Potter 1-3 Box Set: A Magical Adventure Begins,J.K. Rowling,₹986
